Date,Feast,Lection 1,Lection 2,Epistle,Gospel,Raw
28 March 2025,Holy Thursday Of The Passover,Exodus 12:1-20,"Zachariah 9:9-12; 11:4-5, 12-13; 12:9-end; 13:7-end",1 Corinthians 5:7-8; 10:15-17; 11:23-end,"Matthew 26:1-6, 14-30","28 March 2025 Holy Thursday Of The Passover Exodus 12:1-20 Zachariah 9:9-12; 11:4-5, 12-13; 12:9-end; 13:7-end 1 Corinthians 5:7-8; 10:15-17; 11:23-end Matthew 26:1-6, 14-30"
31 March 2025,Easter Sunday,Isaiah 60:1-7,1 Samuel 2:1-10,Romans 5:20-6:all;,John 20:1-18,31 March 2025 Easter Sunday Isaiah 60:1-7 1 Samuel 2:1-10 Romans 5:20-6:all; John 20:1-18
7 April 2025,Second Sunday Of Resurrection - New Sunday,Isaiah 55:4-end,Acts 4:32-5:5,Colossians 1:1-20,John 20:19-end,7 April 2025 Second Sunday Of Resurrection - New Sunday Isaiah 55:4-end Acts 4:32-5:5 Colossians 1:1-20 John 20:19-end
14 April 2014,Third Sunday Of Resurrection,Isaiah 56:1-7,Acts 5:34-end,Ephesians 1:1-14,John 14:1-14,14 April 2014 Third Sunday Of Resurrection Isaiah 56:1-7 Acts 5:34-end Ephesians 1:1-14 John 14:1-14
21 April 2025,Fourth Sunday Of Resurrection,Isaiah 49:13-23,Acts 8:14-25,Ephesians 1:15-2:5,John 16:16-end,21 April 2025 Fourth Sunday Of Resurrection Isaiah 49:13-23 Acts 8:14-25 Ephesians 1:15-2:5 John 16:16-end
24 April 2025,Commemoration Of St. George,Daniel 6: 6-end,Acts 12:1-24,Philippians 1:12-26,Matthew 10:37-end; 19:27-end,24 April 2025 Commemoration Of St. George Daniel 6: 6-end Acts 12:1-24 Philippians 1:12-26 Matthew 10:37-end; 19:27-end
28 April 2025,Fifth Sunday Of Resurrection,Isaiah 49:7-13,Acts 9:1-19,Hebrews 10:19-36,John 21:1-14,28 April 2025 Fifth Sunday Of Resurrection Isaiah 49:7-13 Acts 9:1-19 Hebrews 10:19-36 John 21:1-14
5 May 2025,Sixth Sunday Of Resurrection,Isaiah 51:9-11; 52:7-12,Acts 10:1-16,Ephesians 2:4-end,John 17,5 May 2025 Sixth Sunday Of Resurrection Isaiah 51:9-11; 52:7-12 Acts 10:1-16 Ephesians 2:4-end John 17
9 May 2025,The Holy Feast Of The,Ascension,2 Kings 2:1-15,Acts 1:1-14,1 Timothy 1:18-2:all; 3:14-end Luke 24:36-end,9 May 2025 The Holy Feast Of The Ascension 2 Kings 2:1-15 Acts 1:1-14 1 Timothy 1:18-2:all; 3:14-end Luke 24:36-end
12 May 2025,Sunday After The Ascension,Isaiah,6 Acts 1:15-end,Philippians 1:27-2:11,Mark 16:2-end,12 May 2025 Sunday After The Ascension Isaiah 6 Acts 1:15-end Philippians 1:27-2:11 Mark 16:2-end
19 May 2025,Pentecost Sunday - The Entrance Into The Fast Of The Apostles,Exodus 19:1-9; 20:18-21,Acts 2:1-21,1 Corinthians 12:1-27,"John 14:15-17, 25-26; 15:26-16:15","19 May 2025 Pentecost Sunday - The Entrance Into The Fast Of The Apostles Exodus 19:1-9; 20:18-21 Acts 2:1-21 1 Corinthians 12:1-27 John 14:15-17, 25-26; 15:26-16:15"
26 May 2025,Second Sunday Of The Apostles,Joel 2:15-26,Acts 4:5-22,1 Corinthians 5:6-6:11,Luke 7:31-end,26 May 2025 Second Sunday Of The Apostles Joel 2:15-26 Acts 4:5-22 1 Corinthians 5:6-6:11 Luke 7:31-end
2 June 2025,Third Sunday Of The Apostles,Deuteronomy 1:3-17,Isaiah 1:1-9,1 Corinthians 7:1-7,Luke 10:23-end,2 June 2025 Third Sunday Of The Apostles Deuteronomy 1:3-17 Isaiah 1:1-9 1 Corinthians 7:1-7 Luke 10:23-end
9 June 2025,Fourth Sunday Of The Apostles,Deuteronomy 1:16-33,Isaiah 1:10-20,1 Corinthians 9:13-end,Luke 6:12-46,9 June 2025 Fourth Sunday Of The Apostles Deuteronomy 1:16-33 Isaiah 1:10-20 1 Corinthians 9:13-end Luke 6:12-46
16 June 2025,Fifth Sunday Of The Apostles,Deuteronomy 1:33-2:1,Isaiah 1:21-end,1 Corinthians 14:1-19,Luke 12:16-34,16 June 2025 Fifth Sunday Of The Apostles Deuteronomy 1:33-2:1 Isaiah 1:21-end 1 Corinthians 14:1-19 Luke 12:16-34
23 June 2025,Sixth Sunday Of The Apostles,Deuteronomy 4:1-9,Isaiah 2:1-21,1 Corinthians 10:14-32,Luke 12:57-13:17,23 June 2025 Sixth Sunday Of The Apostles Deuteronomy 4:1-9 Isaiah 2:1-21 1 Corinthians 10:14-32 Luke 12:57-13:17
30 June 2025,Seventh Sunday Of The Apostles,Deuteronomy 4:10-24,Isaiah 5:8-25,1 Corinthians 15:58-16:all,Luke 13:22-end,30 June 2025 Seventh Sunday Of The Apostles Deuteronomy 4:10-24 Isaiah 5:8-25 1 Corinthians 15:58-16:all Luke 13:22-end
7 July 2025,First Sunday Of Summer (Nusardeil),1 Kings 18:30-39 or Deuteronomy 4:25-31,Acts 5:12-32 or Isaiah 2:23-3:15,2 Corinthians 1:8-14,Luke 14:1-14,7 July 2025 First Sunday Of Summer (Nusardeil) 1 Kings 18:30-39 or Deuteronomy 4:25-31 Acts 5:12-32 or Isaiah 2:23-3:15 2 Corinthians 1:8-14 Luke 14:1-14
14 July 2025,Second Sunday Of Summer,Deuteronomy 4:1-40,Isaiah 3:16-4:all,2 Corinthians 3:4-end,Luke 15:4-end,14 July 2025 Second Sunday Of Summer Deuteronomy 4:1-40 Isaiah 3:16-4:all 2 Corinthians 3:4-end Luke 15:4-end
21 July 2025,Third Sunday Of Summer,Deuteronomy 5:1-16,Isaiah 5:1-7,2 Corinthians 7:1-11,John 9:1-38,21 July 2025 Third Sunday Of Summer Deuteronomy 5:1-16 Isaiah 5:1-7 2 Corinthians 7:1-11 John 9:1-38
28 July 2025,Fourth Sunday Of Summer,Deuteronomy 5:16-6:3,Isaiah 9:8-end,2 Corinthians,10 Mark 7:1-23,28 July 2025 Fourth Sunday Of Summer Deuteronomy 5:16-6:3 Isaiah 9:8-end 2 Corinthians 10 Mark 7:1-23
4 August 2025,Fifth Sunday Of Summer,Leviticus 23:9-22,Isaiah 28:14-22,2 Corinthians 12:14-13:all,Luke 16:19-17:10,4 August 2025 Fifth Sunday Of Summer Leviticus 23:9-22 Isaiah 28:14-22 2 Corinthians 12:14-13:all Luke 16:19-17:10
6 August 2025,Feast Of The Transfiguration,Exodus 19:1-9; 20:18-21,Isaiah 6,1 Timothy 1:18-2:all; 3:14-end or Hebrews 12:18-end,Matthew 16:24-17:9,6 August 2025 Feast Of The Transfiguration Exodus 19:1-9; 20:18-21 Isaiah 6 1 Timothy 1:18-2:all; 3:14-end or Hebrews 12:18-end Matthew 16:24-17:9
11 August 2025,Sixth Sunday Of Summer,Leviticus 19:1-4; 9-14,Isaiah 29:13-end,1 Thessalonians 2:1-12,Luke 17:5-19,11 August 2025 Sixth Sunday Of Summer Leviticus 19:1-4; 9-14 Isaiah 29:13-end 1 Thessalonians 2:1-12 Luke 17:5-19
18 August 2025,Seventh Sunday Of Summer,Leviticus 19:15-18; 20:9-14,Isaiah 30:1-14,1 Thessalonians 2:14-3:all,Luke 18:2-14,18 August 2025 Seventh Sunday Of Summer Leviticus 19:15-18; 20:9-14 Isaiah 30:1-14 1 Thessalonians 2:14-3:all Luke 18:2-14
25 August 2025,Sunday Entering The Fast Of Mar Elijah,Deuteronomy 6:20-7:5,Isaiah 31,2 Thessalonians,1 Luke 18:35-19:10,25 August 2025 Sunday Entering The Fast Of Mar Elijah Deuteronomy 6:20-7:5 Isaiah 31 2 Thessalonians 1 Luke 18:35-19:10
1 September 2025,Second Sunday Of Elijah,Deuteronomy 7:7-11,Isaiah 30:15-26,2 Thessalonians 2:15-3 (all),Matthew 13:1-23,1 September 2025 Second Sunday Of Elijah Deuteronomy 7:7-11 Isaiah 30:15-26 2 Thessalonians 2:15-3 (all) Matthew 13:1-23
8 September 2025,Third Sunday Of Elijah,Deuteronomy 7:12-end,Isaiah 32:1-33:6,Philippians 1:12-25,Matthew 13:24-43,8 September 2025 Third Sunday Of Elijah Deuteronomy 7:12-end Isaiah 32:1-33:6 Philippians 1:12-25 Matthew 13:24-43
13 September 2025,The Feast Of Holy Cross,Isaiah 52:13-53:all,Acts 2:14-36,1 Corinthians 1:18-end,Luke 24:13-35,13 September 2025 The Feast Of Holy Cross Isaiah 52:13-53:all Acts 2:14-36 1 Corinthians 1:18-end Luke 24:13-35
15 September 2025,Fourth Sunday Of Elijah - First Of The Holy Cross,Deuteronomy 8:11-end,Isaiah 33:13-end,Philippians 1:27-2:11,Matthew 4:12-5:16,15 September 2025 Fourth Sunday Of Elijah - First Of The Holy Cross Deuteronomy 8:11-end Isaiah 33:13-end Philippians 1:27-2:11 Matthew 4:12-5:16
22 September 2025,Fifth Sunday Of Elijah - Second Of The Holy Cross,Deuteronomy 9:1-8,Isaiah 25:1-8,Philippians 3:1-14,Matthew 17:14-end,22 September 2025 Fifth Sunday Of Elijah - Second Of The Holy Cross Deuteronomy 9:1-8 Isaiah 25:1-8 Philippians 3:1-14 Matthew 17:14-end
29 September 2025,Sixth Sunday Of Elijah - Third Of The Holy Cross,Deuteronomy 9:13-22,Isaiah 26:1-19,Philippians 4:4-end,Matthew 15:21-38,29 September 2025 Sixth Sunday Of Elijah - Third Of The Holy Cross Deuteronomy 9:13-22 Isaiah 26:1-19 Philippians 4:4-end Matthew 15:21-38
6 October 2025,Seventh Sunday Of Elijah - Fourth Of The Holy Cross,Deuteronomy 10:12-end,Isaiah 28:23-29:12,1 Corinthians 14:26-end,Matthew 18:1-18,6 October 2025 Seventh Sunday Of Elijah - Fourth Of The Holy Cross Deuteronomy 10:12-end Isaiah 28:23-29:12 1 Corinthians 14:26-end Matthew 18:1-18
13 October 2025,First Sunday Of Moses,Deuteronomy 11:1-12,Isaiah 40:1-17,2 Corinthians 1:23-2:16,Matthew 20:1-16,13 October 2025 First Sunday Of Moses Deuteronomy 11:1-12 Isaiah 40:1-17 2 Corinthians 1:23-2:16 Matthew 20:1-16
